image_name:kodim1,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
199.464.039,64.200.357,10.877.244,63.018,23.766,"0,019872206"
199.598.612,63.236.435,10.904.955,57.475,21.530,"0,019121715"
199.281.652,59.910.503,10.840.572,55.792,23.498,"0,018347171"
image_name:kodim22,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
199.530.061,60.275.879,10.893.877,54.458,20.893,"0,019152916"
199.545.462,59.250.610,10.895.456,56.615,22.872,"0,017297320"
199.480.209,59.488.566,10.884.472,56.216,23.687,"0,017943969"
199.233.617,58.854.966,10.835.822,51.028,21.674,"0,018493971"
199.256.797,58.797.689,10.840.163,50.025,21.846,"0,017647669"
199.464.135,59.439.404,10.880.919,56.276,24.378,"0,017847672"
199.244.789,58.637.110,10.837.009,49.123,21.365,"0,018342565"
199.226.390,60.100.705,10.835.367,57.469,22.007,"0,018173897"
199.254.962,58.695.159,10.839.742,49.871,20.558,"0,017257879"
199.201.500,60.460.909,10.830.221,58.699,23.292,"0,018392267"
image_name:kodim23,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
199.245.579,58.567.975,10.837.129,51.456,22.424,"0,017395737"
199.245.448,64.828.565,10.836.382,68.960,23.123,"0,019539586"
199.209.825,58.652.446,10.831.967,49.837,21.420,"0,017631215"
199.226.931,58.523.592,10.834.698,49.554,20.686,"0,018413809"
199.222.322,58.730.288,10.834.411,49.842,22.142,"0,017684045"
199.226.028,59.207.992,10.834.469,49.994,21.811,"0,017905714"
199.194.657,58.955.141,10.829.098,54.209,22.379,"0,017599959"
199.274.518,59.525.697,10.842.739,51.151,23.184,"0,018264737"
199.173.547,58.342.382,10.824.536,48.034,20.872,"0,017156078"
199.217.518,58.714.871,10.832.554,51.240,22.872,"0,018089162"
image_name:kodim24,"image_size(width,height):(768, 512)"
instructions,cycles,branches,cache-referencs,cache-misses,time elapsed in s
199.534.073,60.397.556,10.891.687,56.704,22.386,"0,018227051"
199.271.675,60.245.273,10.839.833,53.402,24.099,"0,017807105"
199.566.333,60.358.689,10.897.587,58.164,23.469,"0,018305041"
199.248.706,59.863.651,10.835.784,52.593,23.662,"0,018175082"
199.307.797,59.979.029,10.846.204,55.717,23.151,"0,017927597"
199.286.143,60.130.625,10.842.162,55.092,21.466,"0,018301091"
199.284.596,61.187.867,10.841.776,62.783,24.007,"0,018466210"
199.245.285,60.531.944,10.834.746,56.336,22.650,"0,018294248"
199.271.798,59.567.726,10.839.164,51.550,20.866,"0,017376925"
199.254.158,60.420.536,10.836.267,54.083,22.646,"0,018054793"
